ulasan,bulan
aku suka,agustus 2023
kemasan aman di pengiriman berfungsi dengan baik. pas dapat harga murah diskon gede,agustus 2023
Kualitas produk baik Produk original Ga pernah mengecewakan pokoknya Ga kelain hati Harga terjangkau Pengiriman juga cepat Respon penjual baik Recommended pokoknya Tengkiuuu,agustus 2023
Kurang remote 1 sudah request untuk dikirim remote yang kurangnya tapi malah maunya diretur padahal saya sudah perlu pake. jadi ya sudahlah. semoga awet.,agustus 2023
barangnya sangat jelek tidak sesuai foto,agustus 2023
barang lumayan bagus dengan harga dibawah 100 ribu,agustus 2023
"Lampunya gak nyala walaupun udah di charge, entah kenapa",agustus 2023
"magnet tdk berfungsi dengan baik, tdk bisa nempel.",agustus 2023
"lampunya sih nyala, tapi harus nyolok terus karena lampu yg dikirim batrainya udah rusak. seller di chat tp ga dibales yah mending lu pada kalo mau beli cari toko lain aja deh, ga rekomended",agustus 2023
"quality control sangat jelek, beli 3, 1 gabisa dipake alias rusak/matot dideskripsi katanya sudah qc sebelum kirim tapi barang mati tetep dikirim",agustus 2023
lampunya jlek cpet habbis kdng nyala sndri g bsa d matikn,agustus 2023
Pas ditempel jatuh2. Udah dicoba berbagai cara untuk nempelin pake magnetnya ya jatuh jg.,agustus 2023
"barang bagus, cuma sayangnya magnet gak bs menempel kuat saat posisi vertikal, jadinya melorot",agustus 2023
Semua fitur berfungsi baik,agustus 2023
"lampunya bagus, bisa diconnect ke aplikasi bardi / alexa.. gak usah tukar aplikasi lagi.",agustus 2023
Sangat puas good quality,agustus 2023
Sesuai deskripsi dan semua baik,juli 2023
"Produk ok, berfungsi dgn baik",juli 2023
"barang udah datang, makasi gan",juli 2023
"satu alat tidak berfungsi baik, uap tidak kluar baik sprti yang satunya. Apakah bisa ditukarkan?",juli 2023
"barangnya oke, packing nya aman banget, pengiriman cepet seller jg ramah..... berfungsi dengan baik... ada remotnya jg",juli 2023
Baru dipake 1 bulan uda ga ada uap sama timernya suka nyala sndri,juli 2023
mantuuuuuuul (mantaaap betul),juli 2023
Penjual culas barang w belum di balikin semoga gak berkah lw bales dong chat w mengenai refund barang jangan ngilang gitu aja w beli bukan minta,juli 2023
"baru beberapa hari pakai langsung rusak, uap tidak keluar sama sekali. katanya ada garansi 6 bulan dan kl rusak bisa ditukar, sudah 2 minggu saya chat admin menanyakan ttg prosedur dan mekanisme penukaran namun tidak mendapatkan penjelasan yg sesuai. saya sudah berkali² chat menanyakan mekanisme dan prosedur penukaran barang tapi hanya dibalas ""ke kami ka"", ""siap ka"" dan sejenisnya tanpa mendapat penjelasan yg pasti. toko ini memang tidak serius dalam membuat barang dan mengadakan mekanisme pengembalian. bagi yg mau beli barang di sini tolong dipertimbangkan lagi, sebaiknya beli barang di tempat lain. saya sangat sakit hati dan sangat lelah meminta penjelasan ttg penukaran barang, yg sebenernya merupakan hak saya karena ada garansi 6 bulan setelah pembelian. saya sangat menyesali membuang uang dan waktu utk beli barang di sini.",juli 2023
"nanya apa dijawab apa, payah",juli 2023
remot tidak bisa di gunakan,juli 2023
"Lampunya gak nyala walaupun udah di charge, entah kenapa",juli 2023
"magnet tdk berfungsi dengan baik, tdk bisa nempel",juli 2023
"ok sih, potongan ny kurang rata aja",juli 2023
"Barang sdh diterima ssi pemesanan, trims gan.",juli 2023
order kedua. ukuran presisi.,juli 2023
"Alhamdulillah sudah sampai, semoga sukses dan terus berkembang tokonya",juni 2023
udah byk pesan Disini.mantap,juni 2023
cermin multi fungsi ,juni 2023
"Mungil, paketnya sampe amaan . Belum terpasang tapi baguss sih",juni 2023
terima kasih.....................................,juni 2023
Produk sudah diterima dengan baik. Terima kasih!,juni 2023
"packing rapi, aman, dan barang kondisi bagus",juni 2023
