Akun,review_text,label
Stephanus,dua kali beli sayang lambat respon order pagi kirim sore respon respon itu kirim besok barang bagus sesuai harga,0
Yati,bagus kirim cepat,1
Husin,barang sesuai pesan,1
Febby,panas pakai,1
Rahmat,barang sesuai minta bagus komunikasi jual beli pro aktif,0
Alden,bagus masker,1
Heni,pengirimn cepat produk bagus konsumen suka makasih,1
Husin,barang sesuai pesan kirim cepat,1
n***l,proses barang jemput kurir banget anjas pokok,0
Antonius,mantabspesan warna hitam putih pink,1
M***e,kirim cepat sesuai pesan respon jual cepat ramah,1
R***I,barang terima sesuai pesan aman,1
Frida,tidak ada komentar,1
Renold,kecewa berat masker hijab warna hitam tali masker gampang putus tali masker pendek,0
Roy,kirim sesuai estimasi baik,1
Ridwan,karet headloop nya pendek istri pakai untung anak,0
Fatma,barang bagus hrga murah layan muas,1
v***a,bagus barang sesuai,1
A***s,tidak ada komentar,1
Renold,masker medis lumayan cepat tuju harga murah barang murahansmoga masker medis nya manfaat,1
Parama,sesuai pesan packing kirim cepat terima kasih ya,1
S***l,sesuai harga,1
Galih,kirim cepat barang sesuai,1
Sujatmiko,sesuai pesan sip,1
A***s,nice one,1
Hae,sesuai pesan,1
M***i,barang rumah,1
Achmad,proses nya cepat thanks gan,1
M***r,barang sesuai pesan,1
s***a,kirim nya cepat barang aman rusa,1
A***i,masker favorite senang beli official store jamin,1
L***a,packingan bagus rapi bubblewrap kirim cepat sesuai janji besok puas,1
cynthia,kualitas okpengiriman cepat bangetdapet cashback,1
B***k,barang sesuai pesan cepat,1
Novi,barang asli evorecomended,1
J***a,pesan masker warna hijau datang warna pink,0
G***i,order emas bagus cepat moga tambah warna cute ya,1
M***i,pilih no masker medis keluarga,1
Felix,packing fisik barang rapi safety terima kasih souvenir nya,1
Celine,bagus,1
J***a,langgan,1
Rita,suka rapat nyaman banget,1
Y***A,proses cepat respon jual ramah packaging rapi mantaaaaaapp,1
B***a,good quality percaya,1
Derry,kirim cepat bandung mantap,1
Firdaus,respon cepat packing rapi kirim barang sesuai,1
N***a,produk asli bungkus plastik segel mahal toko jamin kualitas,1
Denys,bagus,1
R***z,recomended,1
A***i,kirim nya cepat,1
Nova,re order sekian kali mantap puas order,1
A***d,barang terima terima kasih,1
edduwar,barang baguz cepat,1
Seindah,rugi beli toko rekomended,1
A***s,tidak ada komentar,1
David,mantul,1
Anggia,bungkus plastik sealed debu kotor,0
W***a,sippp beli,1
M***d,manstap,1
Edwin,barang terima,1
a***a,baik,1
dharma,tidak ada komentar,1
Lesmono,warna kalem pakai bini sesuai baju,1
s***i,tooopp puuaaassss,1
S***i,barang sesuai pesan bagus kirim,1
Melani,bagus rapi foto langsung pakai tali gampang putus relatif sakit telinga terima kasih ya,1
Darwin,ok,1
SETIAWAN,packing rapi respon cepat,1
arief,mantap jiwa moga harga turun,1
arief,next order,1
H***k,kualitas bagus abal,1
d***i,rekomendasi kurir,1
Rizki,langgan beli masker kualitas masker bagus kirim cepat harga affordable thank you,1
